STATION,STATION_NAME,DATE,SNWD,TMAX,TMIN
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970501,-9999,156,22
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970502,-9999,117,72
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970503,-9999,139,56
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970504,-9999,178,44
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970505,-9999,239,100
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970506,-9999,194,67
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970507,-9999,178,83
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970508,-9999,217,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970509,-9999,139,67
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970510,-9999,161,44
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970511,-9999,222,106
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970512,-9999,167,61
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970513,-9999,106,39
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970514,-9999,144,72
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970515,-9999,106,44
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970516,-9999,194,28
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970517,-9999,167,56
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970518,-9999,261,67
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970519,-9999,183,78
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970520,-9999,167,61
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970521,-9999,139,44
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970522,-9999,183,39
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970523,-9999,244,61
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970524,-9999,289,128
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970525,-9999,150,100
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970526,-9999,139,89
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970527,-9999,189,89
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970528,-9999,172,117
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970529,-9999,178,139
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970530,-9999,206,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970531,-9999,194,122
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970601,-9999,200,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970602,-9999,172,117
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970603,-9999,211,128
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970604,-9999,222,94
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970605,-9999,239,117
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970606,-9999,194,144
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970607,-9999,172,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970608,-9999,217,122
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970609,-9999,239,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970610,-9999,267,122
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970612,-9999,244,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970613,-9999,283,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970614,-9999,206,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970615,-9999,283,94
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970616,-9999,267,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970617,-9999,211,122
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970618,-9999,267,139
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970619,-9999,306,144
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970620,-9999,322,244
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970621,-9999,289,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970622,-9999,317,194
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970623,-9999,344,233
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970624,-9999,356,244
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970625,-9999,306,217
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970626,-9999,289,194
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970627,-9999,306,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970628,-9999,317,194
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970629,-9999,322,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970630,-9999,294,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970701,-9999,328,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970702,-9999,344,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970703,-9999,244,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970704,-9999,189,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970705,-9999,261,128
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970706,-9999,283,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970707,-9999,244,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970708,-9999,294,150
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970709,-9999,211,139
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970710,-9999,261,122
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970711,-9999,289,161
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970712,-9999,311,189
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970713,-9999,356,239
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970714,-9999,339,233
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970715,-9999,328,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970716,-9999,356,222
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970717,-9999,344,250
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970718,-9999,322,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970719,-9999,278,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970720,-9999,317,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970721,-9999,267,194
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970722,-9999,239,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970723,-9999,228,189
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970724,-9999,283,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970725,-9999,306,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970726,-9999,372,233
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970727,-9999,361,244
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970728,-9999,283,206
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970729,-9999,233,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970730,-9999,256,161
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970731,-9999,283,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970801,-9999,306,189
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970802,-9999,339,228
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970803,-9999,328,211
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970804,-9999,267,183
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970805,-9999,228,150
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970806,-9999,250,139
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970807,-9999,272,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970808,-9999,283,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970809,-9999,256,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970810,-9999,283,206
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970811,-9999,217,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970812,-9999,244,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970813,-9999,239,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970814,-9999,244,161
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970815,-9999,289,217
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970816,-9999,328,189
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970817,-9999,250,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970818,-9999,206,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970819,-9999,217,144
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970820,-9999,228,167
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970821,-9999,222,139
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970822,-9999,233,128
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970823,-9999,244,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970824,-9999,256,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970825,-9999,228,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970826,-9999,272,161
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970827,-9999,300,217
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970828,-9999,239,183
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970829,-9999,244,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970830,-9999,233,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970831,-9999,267,194
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970901,-9999,294,172
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970902,-9999,250,167
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970903,-9999,194,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970904,-9999,206,94
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970905,-9999,267,111
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970906,-9999,306,167
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970907,-9999,233,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970908,-9999,222,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970909,-9999,233,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970910,-9999,217,150
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970911,-9999,228,128
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970912,-9999,239,117
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970913,-9999,250,133
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970914,-9999,267,183
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970915,-9999,283,167
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970916,-9999,294,200
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970917,-9999,278,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970918,-9999,289,156
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970919,-9999,289,178
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,19970920,-9999,206,133
