DATE,SNWD,SNOW
19641201,0,41
19641202,51,79
19641203,76,0
19641204,152,104
19641205,178,0
19641206,178,0
19641207,152,3
19641208,152,5
19641209,127,0
19641210,127,0
19641211,25,0
19641212,0,0
19641213,0,3
19641214,0,0
19641215,0,0
19641216,0,0
19641217,0,0
19641218,0,0
19641219,0,10
19641220,0,0
19641221,0,0
19641222,0,0
19641223,0,0
19641224,0,0
19641225,0,38
19641226,51,0
19641227,25,0
19641228,25,0
19641229,0,0
19641230,0,0
19641231,0,0
19650101,0,5
19650102,0,0
19650103,0,0
19650104,0,0
19650105,0,0
19650106,0,0
19650107,0,0
19650108,0,0
19650109,0,0
19650110,0,0
19650111,0,0
19650112,0,0
19650113,0,10
19650114,0,15
19650115,25,109
19650116,102,0
19650117,102,0
19650118,76,3
19650119,51,0
19650120,25,0
19650121,25,0
19650122,0,0
19650123,0,0
19650124,0,0
19650125,0,0
19650126,0,112
19650127,102,3
19650128,76,0
19650129,76,0
19650130,76,0
19650131,76,41
19650201,152,25
19650202,152,0
19650203,127,0
19650204,102,0
19650205,102,0
19650206,25,0
19650207,0,0
19650208,0,3
19650209,0,0
19650210,0,0
19650211,0,0
19650212,0,0
19650213,0,0
19650214,0,0
19650215,0,0
19650216,0,10
19650217,0,0
19650218,0,0
19650219,0,0
19650220,0,0
19650221,0,0
19650222,0,0
19650223,0,46
19650224,127,170
19650225,254,38
19650226,254,0
19650227,229,0
19650228,152,0
19650301,0,0
19650302,0,0
19650303,0,0
19650304,25,102
19650305,76,18
19650306,51,0
19650307,51,0
19650308,0,3
19650309,0,13
19650310,0,5
19650311,0,18
19650312,0,0
19650313,0,0
19650314,25,30
19650315,0,3
19650316,0,0
19650317,127,173
19650318,76,5
19650319,76,0
19650320,76,3
19650321,76,8
19650322,102,89
19650323,254,124
19650324,254,13
19650325,254,5
19650326,229,18
19650327,203,0
19650328,127,0
19650329,51,0
19650330,25,0
19650331,0,0
19650401,0,0
19650402,0,0
19650403,0,0
19650404,0,0
19650405,0,0
19650406,0,0
19650407,0,0
19650408,0,0
19650409,0,0
19650410,0,0
19650411,0,0
19650412,0,0
19650413,0,0
19650414,0,0
19650415,0,0
19650416,0,0
19650417,0,0
19650418,0,0
19650419,0,0
19650420,0,0
19650421,0,0
19650422,0,0
19650423,0,0
19650424,0,0
19650425,0,0
19650426,0,0
19650427,0,0
19650428,0,0
19650429,0,0
19650430,0,0
19650501,0,0
19650502,0,0
19650503,0,0
19650504,0,0
19650505,0,0
19650506,0,0
19650507,0,0
19650508,0,0
19650509,0,0
19650510,0,0
19650511,0,0
19650512,0,0
19650513,0,0
19650514,0,0
19650515,0,0
19650516,0,0
19650517,0,0
19650518,0,0
19650519,0,0
19650520,0,0
19650521,0,0
19650522,0,0
19650523,0,0
19650524,0,0
19650525,0,0
19650526,0,0
19650527,0,0
